"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"na","North America","napan","Panama","pan",4237396594
"na","North America","naslv","El Salvador","slv",13135
"na","North America","natto","Trinidad and Tobago","tto",5430760
"na","North America","nausa","United States","usa",122541986993
"oc","Oceania","ocaus","Australia","aus",7900921388
"oc","Oceania","occok","Cook Islands","cok",1835
"oc","Oceania","ocfji","Fiji","fji",1411986
"oc","Oceania","ockir","Kiribati","kir",169594.00000000003
"oc","Oceania","ocmhl","Marshall Islands","mhl",53595
"oc","Oceania","ocncl","New Caledonia","ncl",120217.00000000001
"oc","Oceania","ocnzl","New Zealand","nzl",2316310012
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",2253512
"oc","Oceania","ocpng","Papua New Guinea","png",125619880
"oc","Oceania","octkl","Tokelau","tkl",87458
"oc","Oceania","octon","Tonga","ton",24844
"oc","Oceania","ocvut","Vanuatu","vut",25463
"oc","Oceania","ocwsm","Samoa","wsm",96499
"sa","South America","saarg","Argentina","arg",860732
"sa","South America","sabol","Bolivia","bol",86
"sa","South America","sabra","Brazil","bra",4345445829
"sa","South America","sachl","Chile","chl",3588682268
"sa","South America","sacol","Colombia","col",298575579
"sa","South America","saecu","Ecuador","ecu",258778842
"sa","South America","saguy","Guyana","guy",14790.999999999998
"sa","South America","saper","Peru","per",2049600875
"sa","South America","sapry","Paraguay","pry",32680
"sa","South America","sasur","Suriname","sur",1544
"sa","South America","saury","Uruguay","ury",1680384427
